title,perex,label
‚Nejdůležitější výjezd od znovuzrození.‘ Fanoušci Bohemians do Ostravy vypravují vlastní vlak,"Fotbalové kluby v Česku budou bojovat o postup do finále domácího poháru. Slavia hostí od půl osmé večer Spartu a Bohemians čeká od pěti odpoledne utkání s Baníkem v Ostravě Vítkovicích. Pro fanoušky vršovických klokanů je zápas velkou událostí, a aby se něj i ve všední den dostali v co největším počtu, objednali si speciální vlak.",Pre-Match
Slavia i Sparta chtějí v pohárovém derby odčinit ligové porážky,,Pre-Match
"Utrecht hraje o poháry, Fortuna si naopak chce zajistit jistou záchranu","Fortuna se po minulém úspěchu s De Graafschapem (4:1) výrazně přiblížila ke svému hlavnímu cíli, ovšem v tuto chvíli stále ještě nemá jistotu definitivní záchrany. K té potřebuje ve třech zbývajících kolech získat alespoň tři body a nyní se je pokusí vydolovat proti stagnujícímu Utrechtu. Sittardu momentálně patří čtrnáctá pozice se čtyřiatřiceti body a na šestnáctou barážovou příčku rivala z Doetinechemu disponuje náskokem pěti bodů.",Pre-Match
"Příprava na derby? V kabině United bylo dusno, hádku slyšeli i na chodbě","Manchester čeká velké finále sezony. Poté, co oba rivalové sídlící v půlmilionovém městě vypadly z Ligy mistrů, fanoušci upřeli zraky na středeční derby. Vzájemný souboj přitom může zároveň dost napovědět o rozuzlení Premier League. Rudí Ďáblové však nevstoupí do důležitého duelu v nejlepším rozpoložení, po drtivé porážce s Evertonem (0:4), se v jejich kabině strhla hlasitá půlhodinová hádka.",Pre-Match
Man Utd vs Man City line-ups: Predicted XIs and latest team news for Premier League clash,"Luke Shaw is available for Manchester United&#039;s derby clash with Manchester City.",Pre-Match
„Sport” typuje wyniki 32. kolejki ekstraklasy. Zobacz!,"Zobacz typy wyników meczów ekstraklasy w 32. kolejce
Artykuł „Sport” typuje wyniki 32. kolejki ekstraklasy. Zobacz! pochodzi z serwisu Dziennik Sport.",Pre-Match
Manchester United vs Manchester City Betting: Get paid out even if you lose with Golden Goal,The cross-city rivals meet at Old Trafford on Wednesday night in a match that will impact both the title race and the remaining Champions League spots,Pre-Match
Wolves vs Arsenal TV channel: What channel is Arsenal vs Wolves on tonight?,WOLVES host Arsenal this evening in the Premier League but is the match being shown live in the UK?,Pre-Match
"Arsenal touží napravit selhání, Wolves však na favority umí","Zatímco se ve středu večer budou zraky fotbalové veřejnosti upírat k prestižnímu a veledůležitému manchesterskému derby, o čtvrthodinu dříve ve 20:45 započne i další ligová dohrávka mezi Wolverhamptonem a Arsenalem. Také v tomto měření sil mají oba celky v závěru sezony stále výraznou motivaci bodovat, neboť domácí usilují o sedmou příčku s možností pohárové kvalifikace, zatímco londýnský klub zůstává ve hře o umístění mezi nejlepší čtyřkou.",Pre-Match
"Wolverhampton - Arsenal: Hiểm địa &quot;hang Sói&quot;, cơ hội vào top 3","(Nhận định bóng đá, Wolverhampton - Arsenal, 1h45, 25/4, đá bù vòng 31 Ngoại hạng Anh) Trong khi MU và Man City phải tử chiến trận derby ở Old Trafford thì &amp;#34;Pháo thủ&amp;#34; sau nỗi đau thua Crystal Palace cũng sẽ chẳng dễ dàng gì khi làm khách của một đối thủ chuyên gieo sầu các &amp;#34;ông lớn&amp;#34;.",Pre-Match
"Pořád to máme ve svých rukou, burcuje Emery Arsenal","Arsenal padl o víkendu doma s Crystal Palace a v Premier League je tedy momentálně až na pátém místě, tedy mimo pozice zaručující Ligu mistrů. Přesto manažer Unai Emery burcuje: &quot;Stále to máme ve svých rukou!&quot;.",Pre-Match
Arsenal boss Emery still confident of top-four finish despite Crystal Palace setback,"The Gunners boss is bullish about his team&#039;s chances of qualifying for the Champions League, despite a shock loss at the weekend",Pre-Match
"Sport24.co.za | Emery doesn&#039;t expect easy ride at Wolves",Unai Emery has warned Arsenal not to expect an easy ride from Wolves as the Gunners look to get their top-four bid back on track.,Pre-Match
Unai Emery rates Arsenal’s top four chances after Chelsea slip up against Burnley,"It&#039;s going to go down to the wire.",Pre-Match
"It&#039;s the tightest top-four battle of all-time with United, Arsenal, Chelsea and Spurs all involved","Here, Sportsmail takes a look at the Premier League standings and how the tightest top-four race in memory has got to this stage with Manchester United, Arsenal, Chelsea and Tottenham battling.",Pre-Match
Emery: Top four is in our hands,"Unai Emery says Arsenal&#039;s Premier League top-four ambitions are in their own hands as they head to Wolves on Wednesday night.",Pre-Match
Nhận định Wolves vs Arsenal (01h45 ngày 25/04): Lại thêm một cú sốc?,"Nhận định Wolves vs Arsenal nghiêng hẳn về phía Pháo thủ, song với việc chơi cực tốt trên sân nhà ở mùa giải này và thường xuyên lấy điểm từ những ông lớn, “Bầy sói” đủ sức khiến thầy trò Unai Emery gặp những khó khăn.",Pre-Match
"Arsenal Team News: Injuries, suspensions and line-up vs Wolves",Everything you need to know ahead of the Premier League clash at Molineux on Wednesday night,Pre-Match
"This could be the night when Pep Guardiola&#039;s Manchester City slip up",MARTIN KEOWN: Manchester United are a wounded animal after what happened at Goodison Park. They were left embarrassed by their performance at Everton.,Pre-Match
"Top-Spiel in LaLiga: Atletico empfängt Valencia - Wetten &amp; Quoten","Während Valencia noch um den Einzug in die Königsklasse kämpft, will Atletico Rang zwei hinter Barcelona sichern. Wer setzt sich am Mittwoch durch?",Pre-Match
"Meistergruppe - Austria geht in &quot;richtungsweisende&quot; Duelle mit St. Pölten",In Meistergruppe noch sieglose Wiener zunächst auf Heimsieg aus,Pre-Match
"Στις «φλόγες» το Μάντσεστερ, στο… ακουστικό το Λίβερπουλ",Το Μάντσεστερ έχει πάρει «φωτιά» για το αποψινό (22:00) μεγάλο…,Pre-Match
Getafe-Real Madrid: probabili formazioni e dove vederla in tv e streaming,Il Getafe sfida il Real Madrid nella 34ª giornata infrasettimanale della Liga: tutte le informazioni sulla partita e dove vederla in tv e streaming.,Pre-Match
